conum;year;gdp;pop;gold;silver;bronze;medaltot;host;planned;soviet;share
146;72;2680000000;2535130;NA;NA;NA;NA;0;0;0;NA
146;80;3050000000;3086000;NA;NA;NA;NA;0;0;0;NA
146;88;3620000000;3673550;NA;NA;NA;NA;0;0;0;NA
147;84;6090000000;3501040;0;0;0;0;0;0;0;0
147;60;1630000000;1842000;NA;NA;NA;NA;0;0;0;NA
147;64;1910000000;2030320;NA;NA;NA;NA;0;0;0;NA
147;72;2790000000;2462550;NA;NA;NA;NA;0;0;0;NA
147;80;5830000000;3114000;NA;NA;NA;NA;0;0;0;NA
148;80;48200000000;17300000;0;0;0;0;0;0;0;0
148;84;46800000000;19100000;0;1;0;1;0;0;0;0
149;84;57000000000;53200000;0;0;0;0;0;0;0;0
149;80;56400000000;48300000;NA;NA;NA;NA;0;0;0;NA
150;80;108000000000;35600000;3;14;15;32;0;0;1;0
150;84;103000000000;36900000;NA;NA;NA;NA;0;0;1;NA
151;84;71400000000;9989000;1;0;2;3;0;0;0;0
151;80;70300000000;9766000;0;0;0;0;0;0;0;0
152;80;27200000000;3206000;0;0;0;0;0;0;0;0
152;84;28600000000;3344840;0;1;1;2;0;0;0;0
153;84;7270000000;327890;0;0;0;0;0;0;0;0
154;80;36500000000;22200000;6;6;13;25;0;0;1;0
154;84;42600000000;22600000;20;16;17;53;0;0;1;0
155;80;1190000000000;265000000;80;69;46;195;1;0;1;0
155;84;1110000000000;275000000;NA;NA;NA;NA;0;0;1;NA
157;84;1810000000;5856100;0;0;0;0;0;0;0;0
157;60;757000000;2742000;NA;NA;NA;NA;0;0;0;NA
157;64;636000000;3086840;NA;NA;NA;NA;0;0;0;NA
157;68;834000000;3498060;NA;NA;NA;NA;0;0;0;NA
157;72;995000000;3975940;NA;NA;NA;NA;0;0;0;NA
157;76;1220000000;4528810;NA;NA;NA;NA;0;0;0;NA
157;80;1660000000;5163000;NA;NA;NA;NA;0;0;0;NA
158;84;138000000;157130;0;0;0;0;0;0;0;0
158;80;151000000;155000;NA;NA;NA;NA;0;0;0;NA
159;80;406000000;20000;0;0;0;0;0;0;0;0
159;84;445000000;20000;0;0;0;0;0;0;0;0
159;64;280000000;20000;NA;NA;NA;NA;0;0;0;NA
160;88;41700000;108630;NA;NA;NA;NA;0;0;0;NA
160;92;43000000;121760;NA;NA;NA;NA;0;0;0;NA
161;84;94300000000;11700000;0;0;0;0;0;0;0;0
161;60;15100000000;4075000;NA;NA;NA;NA;0;0;0;NA
161;64;22300000000;4645480;NA;NA;NA;NA;0;0;0;NA
161;68;31800000000;5309840;NA;NA;NA;NA;0;0;0;NA
161;80;106000000000;9372000;NA;NA;NA;NA;0;0;0;NA
162;80;3090000000;5538000;0;0;0;0;0;0;0;0
162;84;3450000000;6197760;0;0;0;0;0;0;0;0
162;60;2160000000;3187000;NA;NA;NA;NA;0;0;0;NA
162;68;2570000000;3932410;NA;NA;NA;NA;0;0;0;NA
163;80;314000000;64400;0;0;0;0;0;0;0;0
163;84;303000000;66900;0;0;0;0;0;0;0;0
163;60;107000000;41700;NA;NA;NA;NA;0;0;0;NA
163;64;129000000;46320;NA;NA;NA;NA;0;0;0;NA
163;68;140000000;51130;NA;NA;NA;NA;0;0;0;NA
163;72;188000000;56070;NA;NA;NA;NA;0;0;0;NA
163;76;249000000;60700;NA;NA;NA;NA;0;0;0;NA
163;88;367000000;68850;NA;NA;NA;NA;0;0;0;NA
164;80;1030000000;3236000;0;0;0;0;0;0;0;0
164;84;1070000000;3510820;0;0;0;0;0;0;0;0
164;60;544000000;2241000;NA;NA;NA;NA;0;0;0;NA
164;64;629000000;2388620;NA;NA;NA;NA;0;0;0;NA
164;68;699000000;2559900;NA;NA;NA;NA;0;0;0;NA
164;72;860000000;2761120;NA;NA;NA;NA;0;0;0;NA
165;84;38400000000;2444000;0;0;0;0;0;0;0;0
165;64;5910000000;1658060;NA;NA;NA;NA;0;0;0;NA
165;80;28000000000;2282000;NA;NA;NA;NA;0;0;0;NA
168;84;177000000;260740;0;0;0;0;0;0;0;0
168;68;85000000;150870;NA;NA;NA;NA;0;0;0;NA
168;72;63600000;171720;NA;NA;NA;NA;0;0;0;NA
168;76;90000000;196720;NA;NA;NA;NA;0;0;0;NA
168;80;132000000;227000;NA;NA;NA;NA;0;0;0;NA
169;84;1260000000;6469720;0;0;0;0;0;0;0;0
169;60;3020000000;2820000;NA;NA;NA;NA;0;0;0;NA
169;64;2610000000;3078860;NA;NA;NA;NA;0;0;0;NA
169;68;2260000000;3442420;NA;NA;NA;NA;0;0;0;NA
169;80;1450000000;5853000;NA;NA;NA;NA;0;0;0;NA
170;64;55400000000;19400000;NA;NA;NA;NA;0;0;0;NA
170;68;70700000000;21200000;NA;NA;NA;NA;0;0;0;NA
170;72;83700000000;23100000;NA;NA;NA;NA;0;0;0;NA
170;76;98400000000;25300000;NA;NA;NA;NA;0;0;0;NA
170;80;111000000000;27600000;NA;NA;NA;NA;0;0;0;NA
170;84;121000000000;30500000;NA;NA;NA;NA;0;0;0;NA
170;88;126000000000;33700000;NA;NA;NA;NA;0;0;0;NA
171;84;413000000000;38300000;1;2;2;5;0;0;0;0
171;80;393000000000;37400000;1;3;2;6;0;0;0;0
172;80;6660000000;14700000;0;0;0;0;0;0;0;0
172;84;8070000000;15600000;0;0;0;0;0;0;0;0
173;92;200000000;41590;NA;NA;NA;NA;0;0;0;NA
173;88;170000000;42310;NA;NA;NA;NA;0;0;0;NA
173;76;90100000;43300;NA;NA;NA;NA;0;0;0;NA
173;84;127000000;43670;NA;NA;NA;NA;0;0;0;NA
173;72;83200000;44400;NA;NA;NA;NA;0;0;0;NA
173;80;114000000;44400;NA;NA;NA;NA;0;0;0;NA
173;68;74400000;46380;NA;NA;NA;NA;0;0;0;NA
173;64;73700000;49150;NA;NA;NA;NA;0;0;0;NA
173;60;71500000;51000;NA;NA;NA;NA;0;0;0;NA
174;88;350000000;145500;NA;NA;NA;NA;0;0;0;NA
174;92;435000000;151190;NA;NA;NA;NA;0;0;0;NA
175;80;129000000;97800;NA;NA;NA;NA;0;0;0;NA
175;84;158000000;101380;NA;NA;NA;NA;0;0;0;NA
176;84;4770000000;20900000;0;0;0;0;0;0;0;0
176;64;2760000000;12100000;NA;NA;NA;NA;0;0;0;NA
176;80;4460000000;18700000;NA;NA;NA;NA;0;0;0;NA
177;84;311000000;386900;0;0;0;0;0;0;0;0
177;64;279000000;323000;NA;NA;NA;NA;0;0;0;NA
177;80;330000000;355000;NA;NA;NA;NA;0;0;0;NA
177;68;285000000;356000;NA;NA;NA;NA;0;0;0;NA
178;84;658000000;639000;0;0;0;0;0;0;0;0
178;80;591000000;565000;NA;NA;NA;NA;0;0;0;NA
179;84;198000000000;8337000;2;11;6;19;0;0;0;0
179;80;185000000000;8310000;3;3;6;12;0;0;0;0
180;80;252000000000;6319000;2;0;0;2;0;0;0;0
180;84;261000000000;6442000;0;4;4;8;0;0;0;0
181;80;9330000000;8704000;0;0;0;0;0;0;0;0
181;84;10100000000;10000000;0;1;0;1;0;0;0;0
181;60;2170000000;4561000;NA;NA;NA;NA;0;0;0;NA
181;64;2990000000;5165660;NA;NA;NA;NA;0;0;0;NA
182;84;59800000000;19000000;0;0;1;1;0;0;0;0
182;76;18600000000;16500000;NA;NA;NA;NA;0;0;0;NA
182;80;41400000000;17800000;NA;NA;NA;NA;0;0;0;NA
183;92;2740000000;5571000;NA;NA;NA;NA;0;0;0;NA
184;80;2690000000;18600000;0;2;0;2;0;0;0;0
184;84;2940000000;21100000;0;0;0;0;0;0;0;0
184;60;977000000;10200000;NA;NA;NA;NA;0;0;0;NA
185;84;65300000000;50400000;0;1;0;1;0;0;0;0
185;80;52400000000;46700000;NA;NA;NA;NA;0;0;0;NA
186;84;1100000000;2937320;0;0;0;0;0;0;0;0
186;60;352000000;1514000;NA;NA;NA;NA;0;0;0;NA
186;64;492000000;1604000;NA;NA;NA;NA;0;0;0;NA
186;68;688000000;1853000;NA;NA;NA;NA;0;0;0;NA
186;80;1190000000;2615000;NA;NA;NA;NA;0;0;0;NA
187;84;128000000;95250;0;0;0;0;0;0;0;0
188;80;4980000000;1082000;0;0;0;0;0;0;0;0
188;84;5790000000;1160910;0;0;0;0;0;0;0;0
188;60;1590000000;843000;NA;NA;NA;NA;0;0;0;NA
189;84;12200000000;7043930;0;0;0;0;0;0;0;0
189;80;10500000000;6384000;NA;NA;NA;NA;0;0;0;NA
190;84;105000000000;49100000;0;0;3;3;0;0;0;0
190;80;86800000000;44500000;NA;NA;NA;NA;0;0;0;NA
191;92;6450000000;4032000;NA;NA;NA;NA;0;0;0;NA
192;80;2860000000;12800000;0;1;0;1;0;0;0;0
192;84;3310000000;13900000;0;0;0;0;0;0;0;0
193;92;148000000000;52200000;NA;NA;NA;NA;0;0;0;NA
194;84;28600000000;1340700;0;0;0;0;0;0;0;0
194;68;12300000000;163190;NA;NA;NA;NA;0;0;0;NA
194;72;13700000000;296280;NA;NA;NA;NA;0;0;0;NA
194;76;17100000000;601480;NA;NA;NA;NA;0;0;0;NA
194;80;31000000000;1043000;NA;NA;NA;NA;0;0;0;NA
195;84;851000000000;56500000;5;10;22;37;0;0;0;0
195;80;800000000000;56300000;5;7;9;21;0;0;0;0
196;84;5360000000000;236000000;83;61;30;174;1;0;0;0
196;80;4900000000000;227000000;NA;NA;NA;NA;0;0;0;NA
198;84;12400000000;2989000;0;0;0;0;0;0;0;0
198;80;15200000000;2914000;NA;NA;NA;NA;0;0;0;NA
199;92;24200000000;21500000;NA;NA;NA;NA;0;0;0;NA
200;80;164000000;115060;NA;NA;NA;NA;0;0;0;NA
200;84;214000000;126900;NA;NA;NA;NA;0;0;0;NA
201;80;60300000000;15100000;0;1;0;1;0;0;0;0
201;84;57400000000;16700000;0;0;3;3;0;0;0;0
202;80;8560000000;53700000;0;0;0;0;0;0;0;0
202;84;10400000000;57700000;NA;NA;NA;NA;0;0;0;NA
206;80;3190000000;5738000;0;0;0;0;0;0;0;0
206;84;3210000000;6503080;0;0;1;1;0;0;0;0
206;60;1930000000;3141000;NA;NA;NA;NA;0;0;0;NA
207;80;4490000000;7009000;1;0;0;1;0;0;0;0
207;84;5170000000;8038430;0;0;0;0;0;0;0;0
207;64;2030000000;4323090;NA;NA;NA;NA;0;0;0;NA
207;68;2390000000;4930050;NA;NA;NA;NA;0;0;0;NA
207;72;3890000000;5578000;NA;NA;NA;NA;0;0;0;NA
207;76;4190000000;6228580;NA;NA;NA;NA;0;0;0;NA
210;80;68700000000;15200000;2;3;9;14;0;0;1;0
210;84;72100000000;15500000;NA;NA;NA;NA;0;0;1;NA
211;80;103000000000;22300000;2;3;4;9;0;1;0;0
211;84;108000000000;23000000;7;4;7;18;0;1;0;0
1;60;15500000000;10000000;0;0;0;0;0;0;0;0
1;64;17100000000;10900000;0;0;0;0;0;0;0;0
1;68;18800000000;11900000;0;0;0;0;0;0;0;0
1;72;21000000000;13100000;0;0;0;0;0;0;0;0
1;76;23600000000;14400000;0;0;0;0;0;0;0;0
1;88;25100000000;19500000;0;0;0;0;0;0;0;0
1;92;20900000000;21500000;0;0;0;0;0;0;0;0
1;96;33100000000;24200000;0;0;0;0;0;0;0;0
2;72;2000000000;2241000;0;0;0;0;0;1;0;0
2;76;2210000000;2456000;0;0;0;0;0;1;0;0
2;92;1860000000;3190000;0;0;0;0;0;1;0;0
2;96;2650000000;3286000;0;0;0;0;0;0;0;0
3;92;41100000000;26300000;1;0;1;2;0;0;0;0,0024539877
3;96;42800000000;28700000;2;0;1;3;0;0;0;0,0035629454
3;64;12200000000;11600000;0;0;0;0;0;0;0;0
3;68;15000000000;13000000;0;0;0;0;0;0;0;0
3;72;20000000000;14600000;0;0;0;0;0;0;0;0
3;76;25300000000;16500000;0;0;0;0;0;0;0;0
3;88;39600000000;23800000;0;0;0;0;0;0;0;0
6;88;6150000000;8684310;0;0;0;0;0;0;0;0
6;92;5880000000;9942570;0;0;0;0;0;0;0;0
6;96;5640000000;11300000;0;0;0;0;0;0;0;0
7;76;164000000;62350;0;0;0;0;0;0;0;0
7;88;353000000;63200;0;0;0;0;0;0;0;0
7;92;422000000;64470;0;0;0;0;0;0;0;0
7;96;456000000;65730;0;0;0;0;0;0;0;0
8;60;121000000000;20600000;0;1;1;2;0;0;0;0
8;64;132000000000;22000000;0;1;0;1;0;0;0;0
8;68;158000000000;23200000;0;0;2;2;0;0;0;0
8;72;192000000000;24800000;0;1;0;1;0;0;0;0
8;76;206000000000;26500000;0;0;0;0;0;0;0;0
8;88;231000000000;31700000;0;1;1;2;0;0;0;0,0027100271
8;92;256000000000;33400000;0;0;1;1;0;0;0;0,0012269939
8;96;294000000000;35200000;0;2;1;3;0;0;0;0,0035629454
9;96;3050000000;3774000;1;1;0;2;0;0;0;0,0023752969
10;92;1100000000;69000;0;0;0;0;0;0;0;0
10;96;1830000000;85810;0;0;0;0;0;0;0;0
11;88;300000000000;16500000;3;6;5;14;0;0;0;0,0189701897
11;92;319000000000;17500000;7;9;11;27;0;0;0;0,0331288344
11;68;151000000000;12000000;5;7;5;17;0;0;0;0
11;96;376000000000;18300000;9;9;23;41;0;0;0;0,0486935867
11;64;123000000000;11200000;6;2;10;18;0;0;0;0
11;72;181000000000;13200000;8;7;2;17;0;0;0;0
11;60;99200000000;10300000;8;8;6;22;0;0;0;0
11;76;204000000000;14000000;0;1;4;5;0;0;0;0
12;88;193000000000;7595000;1;0;0;1;0;0;0;0,0013550136
12;60;73900000000;7048000;1;1;0;2;0;0;0;0
12;64;88000000000;7215000;0;0;0;0;0;0;0;0
12;68;103000000000;7362000;0;2;2;4;0;0;0;0
12;72;131000000000;7510000;0;1;2;3;0;0;0;0
12;76;149000000000;7552000;0;0;1;1;0;0;0;0
12;92;220000000000;7911400;0;2;0;2;0;0;0;0,0024539877
12;96;235000000000;8059000;0;1;2;3;0;0;0;0,0035629454
13;96;3540000000;7555000;0;1;0;1;0;0;0;0,0011876485
14;64;1380000000;133000;1;0;0;1;0;0;0;0
14;60;923000000;113000;0;0;0;0;0;0;0;0
14;68;1970000000;157000;0;0;0;0;0;0;0;0
14;72;1990000000;178000;0;0;0;0;0;0;0;0
14;76;1600000000;193000;0;0;0;0;0;0;0;0
14;88;3440000000;245000;0;0;0;0;0;0;0;0
14;92;3400000000;262490;0;0;1;1;0;0;0;0,0012269939
14;96;3450000000;284000;0;1;0;1;0;0;0;0,0011876485
15;88;4200000000;473000;0;0;0;0;0;0;0;0
15;92;4850000000;519000;0;0;0;0;0;0;0;0
15;96;5660000000;599000;0;0;0;0;0;0;0;0
16;88;27700000000;106000000;0;0;0;0;0;0;0;0
16;92;32800000000;114000000;0;0;0;0;0;0;0;0
16;96;39500000000;122000000;0;0;0;0;0;0;0;0
17;68;1020000000;237600;0;0;0;0;0;0;0;0
17;72;1260000000;241900;0;0;0;0;0;0;0;0
17;76;1270000000;246400;0;0;0;0;0;0;0;0
17;88;1780000000;255000;0;0;0;0;0;0;0;0
17;92;1640000000;262000;0;0;0;0;0;0;0;0
17;96;1750000000;264400;0;0;0;0;0;0;0;0
18;96;19000000000;10300000;1;6;8;15;0;0;0;0,0178147268
19;96;277000000000;10200000;2;2;2;6;0;0;0;0,0071258907
19;64;120000000000;9367000;2;0;1;3;0;0;0;0
19;60;97000000000;9119000;0;2;2;4;0;0;0;0
19;68;137000000000;9590000;0;0;0;0;0;0;0;0
19;72;169000000000;9709000;0;2;0;2;0;0;0;0
19;76;194000000000;9811000;0;3;3;6;0;0;0;0
19;88;241000000000;9902000;0;0;2;2;0;0;0;0,0027100271
19;92;265000000000;10000000;0;1;2;3;0;0;0;0,0036809816
20;68;134000000;115790;0;0;0;0;0;0;0;0
20;72;169000000;123210;0;0;0;0;0;0;0;0
20;76;209000000;131410;0;0;0;0;0;0;0;0
20;88;385000000;179680;0;0;0;0;0;0;0;0
20;92;545000000;199530;0;0;0;0;0;0;0;0
20;96;601000000;222400;0;0;0;0;0;0;0;0
21;76;1000000000;3106780;0;0;0;0;0;0;0;0
21;88;1580000000;4449200;0;0;0;0;0;0;0;0
21;96;2120000000;5631920;0;0;0;0;0;0;0;0
22;60;1710000000;44400;0;0;0;0;0;0;0;0
22;64;1740000000;48900;0;0;0;0;0;0;0;0
22;68;1770000000;53000;0;0;0;0;0;0;0;0
22;76;1840000000;53200;0;0;1;1;0;0;0;0
22;72;1810000000;54200;0;0;0;0;0;0;0;0
22;88;2020000000;58700;0;0;0;0;0;0;0;0
22;92;1900000000;61000;0;0;0;0;0;0;0;0
22;96;2030000000;62100;0;0;0;0;0;0;0;0
23;88;223000000;574980;0;0;0;0;0;0;0;0
23;92;263000000;636450;0;0;0;0;0;0;0;0
23;96;328000000;715870;0;0;0;0;0;0;0;0
24;64;2400000000;3663760;0;0;0;0;0;0;0;0
24;68;3110000000;4016620;0;0;0;0;0;0;0;0
24;72;3890000000;4421460;0;0;0;0;0;0;0;0
24;76;4930000000;4877210;0;0;0;0;0;0;0;0
24;88;5060000000;6279850;0;0;0;0;0;0;0;0
24;92;5880000000;6897000;0;0;0;0;0;0;0;0
24;96;6990000000;7588000;0;0;0;0;0;0;0;0
25;96;7160000000;2253600;0;0;0;0;0;0;0;0
25;92;12000000000;3837707;0;0;0;0;0;0;0;0
26;88;3100000000;1197070;0;0;0;0;0;0;0;0
26;92;4280000000;1352660;0;0;0;0;0;0;0;0
26;96;4900000000;1496000;0;0;0;0;0;0;0;0
27;88;610000000000;143000000;1;2;3;6;0;0;0;0,0081300813
27;92;608000000000;153000000;2;1;0;3;0;0;0;0,0036809816
27;96;724000000000;162000000;3;3;9;15;0;0;0;0,0178147268
27;60;118000000000;72800000;0;0;2;2;0;0;0;0
27;64;143000000000;82000000;0;0;1;1;0;0;0;0
27;68;192000000000;91300000;0;1;2;3;0;0;0;0
27;72;287000000000;101000000;0;0;2;2;0;0;0;0
27;76;411000000000;111000000;0;0;2;2;0;0;0;0
28;96;226000000;19123;0;0;0;0;0;0;0;0
29;88;4800000000;242210;0;0;0;0;0;0;0;0
29;92;5000000000;272060;0;0;0;0;0;0;0;0
29;96;5120000000;301030;0;0;0;0;0;0;0;0
30;60;2800000000;7867000;1;3;3;7;0;0;1;0
30;96;11800000000;8356000;3;7;5;15;0;0;0;0,0178147268
30;68;5190000000;8370000;2;4;3;9;0;0;1;0
30;92;12700000000;8540000;3;7;6;16;0;0;0;0,0196319018
30;64;3810000000;8144000;3;5;2;10;0;0;1;0
30;76;9310000000;8759000;6;9;7;22;0;0;1;0
30;72;6910000000;8576000;6;10;5;21;0;0;1;0
30;88;17000000000;8981000;10;12;13;35;0;0;1;0,0474254743
31;76;1310000000;6339070;0;0;0;0;0;0;0;0
31;88;2010000000;8472130;0;0;0;0;0;0;0;0
31;92;2250000000;9306450;0;0;0;0;0;0;0;0
31;96;2490000000;10200000;0;0;0;0;0;0;0;0
32;96;914000000;6292590;1;0;0;1;0;0;0;0,0011876485
33;96;3140000000;10200000;0;0;0;0;0;0;0;0
34;64;3070000000;5754260;0;0;0;0;0;0;0;0
34;68;3110000000;6301420;0;0;0;0;0;0;0;0
34;72;3570000000;6954190;0;0;0;0;0;0;0;0
34;76;4380000000;7735550;0;0;0;0;0;0;0;0
34;88;9510000000;10800000;0;0;0;0;0;0;0;0
34;92;8170000000;12100000;0;0;0;0;0;0;0;0
34;96;8360000000;13600000;0;0;0;0;0;0;0;0
35;68;246000000000;20700000;1;3;1;5;0;0;0;0
35;64;259000000000;19300000;1;2;1;4;0;0;0;0
35;96;580000000000;30000000;3;11;8;22;0;0;0;0,026128266
35;88;519000000000;26900000;3;2;5;10;0;0;0;0,0135501355
35;92;527000000000;28500000;6;5;7;18;0;0;0;0,0220858896
35;60;210000000000;17900000;0;1;0;1;0;0;0;0
35;72;296000000000;22000000;0;2;3;5;0;0;0;0
35;76;356000000000;23500000;0;5;6;11;1;0;0;0
36;96;438000000;390730;0;0;0;0;0;0;0;0
37;76;200000000;14960,4101563;0;0;0;0;0;0;0;0
37;88;476000000;23802,890625;0;0;0;0;0;0;0;0
37;96;707000000;32440,4609375;0;0;0;0;0;0;0;0
38;68;797000000;1776380;0;0;0;0;0;0;0;0
38;76;1010000000;2104420;0;0;0;0;0;0;0;0
38;88;1100000000;2802650;0;0;0;0;0;0;0;0
38;92;1020000000;3082120;0;0;0;0;0;0;0;0
38;96;1120000000;3354090;0;0;0;0;0;0;0;0
39;64;911000000;3276350;0;0;0;0;0;0;0;0
39;68;902000000;3514270;0;0;0;0;0;0;0;0
39;72;971000000;3798050;0;0;0;0;0;0;0;0
39;76;1050000000;4105280;0;0;0;0;0;0;0;0
39;88;1110000000;5495800;0;0;0;0;0;0;0;0
39;92;1400000000;6057950;0;0;0;0;0;0;0;0
39;96;1490000000;6937350;0;0;0;0;0;0;0;0
40;60;13600000000;7608000;0;0;0;0;0;0;0;0
40;64;16200000000;8379350;0;0;0;0;0;0;0;0
40;68;19300000000;9136080;0;0;0;0;0;0;0;0
40;72;22000000000;9840990;0;0;0;0;0;0;0;0
40;76;19700000000;10500000;0;0;0;0;0;0;0;0
40;88;34100000000;12700000;0;1;0;1;0;0;0;0,0013550136
40;92;47400000000;13500000;0;0;0;0;0;0;0;0
40;96;63700000000;14400000;0;0;0;0;0;0;0;0
41;88;368000000000;1100000000;5;11;12;28;0;1;0;0,0379403794
41;96;767000000000;1220000000;16;22;12;50;0;1;0;0,0593824228
41;92;496000000000;1160000000;16;22;16;54;0;1;0;0,0662576687
42;60;16100000000;16900000;0;0;0;0;0;0;0;0
42;64;19600000000;19000000;0;0;0;0;0;0;0;0
42;68;23600000000;21400000;0;0;0;0;0;0;0;0
42;72;30700000000;23700000;0;1;2;3;0;0;0;0
42;76;37100000000;26000000;0;0;0;0;0;0;0;0
42;88;59600000000;33600000;0;0;1;1;0;0;0;0,0013550136
42;92;68200000000;36400000;0;0;1;1;0;0;0;0,0012269939
42;96;82200000000;39300000;0;0;0;0;0;0;0;0
43;96;214000000;504680;0;0;0;0;0;0;0;0
44;72;8610000000;21400000;0;0;0;0;0;0;0;0
44;76;8640000000;23900000;0;0;0;0;0;0;0;0
44;88;10000000000;35000000;0;0;0;0;0;0;0;0
44;92;7570000000;39900000;0;0;0;0;0;0;0;0
44;96;6280000000;45300000;0;0;0;0;0;0;0;0
45;64;527000000;1084210;0;0;0;0;0;0;0;0
45;68;608000000;1198480;0;0;0;0;0;0;0;0
45;72;814000000;1332360;0;0;0;0;0;0;0;0
45;76;1030000000;1488890;0;0;0;0;0;0;0;0
45;88;2000000000;2095170;0;0;0;0;0;0;0;0
45;92;2170000000;2351440;0;0;0;0;0;0;0;0
45;96;2250000000;2633720;0;0;0;0;0;0;0;0
46;88;59700000;20000;0;0;0;0;0;0;0;0
46;92;65600000;20000;0;0;0;0;0;0;0;0
46;96;75500000;20000;0;0;0;0;0;0;0;0
47;96;8970000000;3420000;1;0;0;1;0;0;0;0,0011876485
47;64;2130000000;1431720;0;0;0;0;0;0;0;0
47;68;2890000000;1633660;0;0;0;0;0;0;0;0
47;72;3790000000;1822650;0;0;0;0;0;0;0;0
47;76;4640000000;2024500;0;0;0;0;0;0;0;0
47;88;6580000000;2885610;0;1;0;1;0;0;0;0,0013550136
47;92;7940000000;3160000;0;0;0;0;0;0;0;0
48;64;3300000000;4359270;0;0;0;0;0;0;0;0
48;68;4190000000;5089380;0;0;0;0;0;0;0;0
48;72;5790000000;5983580;0;0;0;0;0;0;0;0
48;76;7820000000;7022270;0;0;0;0;0;0;0;0
48;88;8940000000;10900000;0;0;0;0;0;0;0;0
48;92;9090000000;12400000;0;0;0;0;0;0;0;0
48;96;10600000000;13900000;0;0;0;0;0;0;0;0
49;96;18900000000;4770900;1;1;0;2;0;0;0;0,0023752969
49;92;17000000000;4782300;0;1;2;3;0;0;0;0,0036809816
50;72;12900000000;8862000;3;1;4;8;0;0;1;0
50;76;15400000000;9423000;6;4;3;13;0;0;1;0
50;96;17700000000;11000000;9;8;8;25;0;0;1;0,0296912114
50;92;19700000000;10800000;14;6;11;31;0;0;1;0,0380368098
50;60;10500000000;6985000;0;0;0;0;0;0;1;0
50;64;13200000000;7612000;0;1;0;1;0;0;1;0
50;68;13500000000;8284000;0;4;0;4;0;0;1;0
51;88;5730000000;665000;0;0;0;0;0;0;0;0
51;92;7390000000;707000;0;0;0;0;0;0;0;0
51;96;8760000000;740000;0;0;0;0;0;0;0;0
52;96;52800000000;10300000;4;3;4;11;0;0;0;0,013064133
